iter	Passed	Remaining
362	914	1604
363	919	1605
364	921	1602
365	923	1599
366	924	1595
367	927	1592
368	928	1588
369	930	1584
370	935	1585
371	937	1582
372	940	1580
373	942	1576
374	943	1573
375	946	1569
376	947	1566
377	952	1567
378	954	1564
379	957	1561
380	959	1558
381	961	1555
382	963	1552
383	969	1554
384	971	1551
385	973	1548
386	976	1546
387	978	1543
388	983	1544
389	986	1542
390	988	1540
391	991	1537
392	993	1534
393	995	1531
394	1000	1532
395	1002	1529
396	1004	1526
397	1007	1523
398	1009	1520
399	1011	1517
400	1016	1518
401	1018	1515
402	1020	1511
403	1022	1508
404	1024	1504
405	1026	1501
406	1027	1497
407	1032	1497
408	1034	1494
409	1035	1490
410	1037	1487
411	1039	1483
412	1041	1479
413	1043	1476
414	1047	1476
415	1049	1472
416	1051	1469
417	1052	1466
418	1054	1462
419	1056	1458
420	1058	1455
421	1060	1452
422	1064	1452
423	1066	1448
424	1068	1445
425	1070	1442
426	1072	1438
427	1074	1435
428	1075	1431
429	1079	1431
430	1081	1427
431	1083	1424
432	1085	1421
433	1087	1417
434	1088	1414
435	1090	1410
436	1092	1407
437	1096	1407
438	1098	1403
439	1100	1400
440	1102	1397
441	1104	1394
442	1106	1391
443	1108	1387
444	1112	1388
445	1114	1384
446	1116	1381
447	1118	1378
448	1120	1375
449	1122	1371
450	1124	1368
451	1128	1368
452	1130	1365
453	1132	1362
454	1134	1359
455	1136	1356
456	1138	1352
457	1140	1349
458	1144	1349
459	1146	1345
460	1148	1342
461	1149	1339
462	1152	1336
463	1153	1333
464	1155	1329
465	1159	1328
466	1161	1325
467	1163	1322
468	1165	1319
469	1167	1316
470	1169	1313
471	1171	1310
472	1174	1309
473	1176	1306
474	1178	1302
475	1180	1299
476	1182	1296
477	1183	1292
478	1185	1289
479	1187	1286
480	1191	1285
481	1193	1282
482	1195	1279
483	1197	1276
484	1198	1273
485	1200	1269
486	1202	1266
487	1204	1263
488	1208	1262
489	1210	1259
490	1212	1257
491	1214	1253
492	1216	1250
493	1218	1247
494	1219	1244
495	1223	1243
496	1225	1240
497	1227	1237
498	1229	1234
499	1231	1231
500	1233	1228
501	1234	1225
502	1236	1221
503	1240	1221
504	1242	1218
505	1244	1215
506	1246	1212
507	1248	1209
508	1250	1205
509	1251	1202
510	1256	1202
511	1258	1199
512	1259	1196
513	1261	1193
514	1263	1189
515	1265	1186
516	1267	1183
517	1268	1180
518	1275	1182
519	1277	1179
520	1279	1176
521	1281	1173
522	1283	1170
523	1287	1169
524	1289	1166
525	1291	1163
526	1293	1160
527	1295	1157
528	1297	1154
529	1299	1151
530	1301	1149
531	1304	1147
532	1306	1144
533	1308	1141
534	1310	1139
535	1312	1136
536	1314	1133
537	1316	1130
538	1319	1128
539	1321	1125
540	1323	1123
541	1325	1120
542	1327	1117
543	1329	1114
544	1331	1111
545	1335	1110
546	1338	1108
547	1340	1105
548	1342	1102
549	1344	1099
550	1346	1097
551	1348	1094
552	1353	1094
553	1355	1091
554	1357	1088
555	1359	1085
556	1361	1083
557	1363	1080
558	1365	1077
559	1370	1076
560	1372	1073
561	1374	1070
562	1376	1068
563	1377	1065
564	1379	1062
565	1384	1061
566	1386	1058
567	1388	1055
568	1390	1053
569	1392	1050
570	1394	1047
571	1396	1044
572	1400	1043
573	1402	1041
574	1404	1038
575	1406	1035
576	1408	1032
577	1410	1029
578	1412	1027
579	1417	1026
580	1419	1023
581	1421	1020
582	1422	1017
583	1424	1014
584	1426	1012
585	1428	1009
586	1433	1008
587	1435	1005
588	1437	1003
589	1439	1000
590	1441	997
591	1443	994
592	1445	991
593	1448	990
594	1450	987
595	1452	984
596	1454	981
597	1456	978
598	1457	975
599	1459	973
600	1464	972
601	1466	969
602	1468	967
603	1470	964
604	1472	961
605	1474	958
606	1479	957
607	1481	955
608	1483	952
609	1485	949
610	1487	946
611	1488	943
612	1490	941
613	1495	940
614	1497	937
615	1499	935
616	1501	932
617	1503	929
618	1505	926
619	1507	923
620	1511	922
621	1513	919
622	1515	916
623	1517	914
624	1518	911
625	1520	908
626	1522	905
627	1526	904
628	1528	901
629	1530	898
630	1532	896
631	1534	893
632	1536	890
633	1537	887
634	1539	885
635	1543	883
636	1545	880
637	1547	878
638	1549	875
639	1551	872
640	1553	870
641	1555	867
642	1559	865
643	1561	863
644	1563	860
645	1565	857
646	1567	854
647	1568	852
648	1570	849
649	1574	847
650	1576	845
651	1578	842
652	1580	839
653	1582	836
654	1583	834
655	1585	831
656	1590	830
657	1592	827
658	1594	825
659	1596	822
660	1602	821
661	1604	819
662	1607	817
663	1609	814
664	1611	811
665	1613	809
666	1615	806
667	1617	803
668	1619	801
669	1622	799
670	1624	796
671	1626	794
672	1628	791
673	1630	788
674	1632	786
675	1634	783
676	1636	780
677	1640	779
678	1642	776
679	1644	773
680	1646	771
681	1648	768
682	1650	766
683	1652	763
684	1656	761
685	1658	759
686	1660	756
687	1662	754
688	1664	751
689	1666	748
690	1668	746
691	1672	744
692	1674	741
693	1676	739
694	1678	736
695	1680	734
696	1682	731
697	1684	728
698	1689	727
699	1690	724
700	1692	722
701	1694	719
702	1696	716
703	1698	714
704	1700	711
705	1705	710
706	1707	707
707	1708	704
708	1711	702
709	1712	699
710	1714	697
711	1716	694
712	1721	693
713	1723	690
714	1725	687
715	1727	685
716	1729	682
717	1730	679
718	1732	677
719	1737	675
720	1739	673
721	1741	670
722	1743	667
723	1745	665
724	1747	662
725	1748	660
726	1751	657
727	1754	655
728	1755	652
729	1757	650
730	1759	647
731	1761	644
732	1766	643
733	1768	640
734	1770	638
735	1772	635
736	1774	633
737	1776	630
738	1778	628
739	1783	626
740	1785	624
741	1787	621
742	1789	618
743	1791	616
744	1793	613
745	1794	611
746	1797	608
747	1799	606
748	1801	603
749	1803	601
750	1805	598
751	1807	596
752	1812	594
753	1814	591
754	1816	589
755	1817	586
756	1819	584
757	1821	581
758	1823	579
759	1825	576
760	1827	574
761	1829	571
762	1831	569
763	1833	566
764	1835	563
765	1837	561
766	1841	559
767	1843	557
768	1845	554
769	1847	551
770	1849	549
771	1851	546
772	1853	544
773	1855	541
774	1858	539
775	1860	537
776	1862	534
777	1864	532
778	1866	529
779	1868	526
780	1870	524
781	1874	522
782	1876	519
783	1878	517
784	1880	514
785	1881	512
786	1883	509
787	1885	507
788	1889	505
789	1891	502
790	1893	500
791	1895	497
792	1898	495
793	1900	493
794	1902	490
795	1907	488
796	1908	486
797	1910	483
798	1912	481
799	1914	478
800	1916	476
801	1918	473
802	1922	471
803	1924	469
804	1926	466
805	1928	464
806	1929	461
807	1931	459
808	1933	456
809	1935	453
810	1939	451
811	1941	449
812	1943	447
813	1945	444
814	1946	441
815	1948	439
816	1950	436
817	1954	434
818	1956	432
819	1958	429
820	1960	427
821	1962	424
822	1963	422
823	1965	419
824	1969	417
825	1971	415
826	1973	412
827	1974	410
828	1976	407
829	1978	405
830	1980	402
831	1982	400
832	1985	398
833	1987	395
834	1989	393
835	1991	390
836	1993	388
837	1995	385
838	1996	383
839	1998	380
840	2002	378
841	2004	376
842	2006	373
843	2008	371
844	2010	368
845	2012	366
846	2013	363
847	2017	361
848	2019	359
849	2021	356
850	2023	354
851	2025	351
852	2026	349
853	2028	346
854	2030	344
855	2034	342
856	2036	339
857	2038	337
858	2040	334
859	2041	332
860	2043	329
861	2045	327
862	2049	325
863	2051	322
864	2053	320
865	2054	317
866	2056	315
867	2058	313
868	2060	310
869	2062	308
870	2066	306
871	2068	303
872	2069	301
873	2071	298
874	2073	296
875	2075	293
876	2077	291
877	2081	289
878	2083	286
879	2085	284
880	2087	281
881	2089	279
882	2090	277
883	2092	274
884	2094	272
885	2098	270
886	2100	267
887	2102	265
888	2104	262
889	2105	260
890	2107	257
891	2109	255
892	2113	253
893	2115	250
894	2117	248
895	2119	245
896	2120	243
897	2122	241
898	2124	238
899	2126	236
900	2129	234
901	2131	231
902	2133	229
903	2135	226
904	2137	224
905	2138	221
906	2140	219
907	2142	217
908	2146	214
909	2148	212
910	2150	210
911	2152	207
912	2154	205
913	2156	202
914	2158	200
915	2162	198
916	2163	195
917	2165	193
918	2167	191
919	2169	188
920	2171	186
921	2173	183
922	2175	181
923	2179	179
924	2181	176
925	2182	174
926	2185	172
927	2187	169
928	2189	167
929	2191	164
930	2193	162
931	2195	160
932	2197	157
933	2199	155
934	2201	153
935	2202	150
936	2204	148
937	2209	146
938	2212	143
939	2215	141
940	2217	139
941	2219	136
942	2221	134
943	2228	132
944	2231	129
945	2232	127
946	2234	125
947	2236	122
948	2241	120
949	2243	118
950	2245	115
951	2247	113
952	2249	110
953	2251	108
954	2252	106
955	2258	103
956	2261	101
957	2263	99
958	2265	96
959	2267	94
960	2269	92
961	2274	89
962	2277	87
963	2279	85
964	2280	82
965	2282	80
966	2284	77
967	2288	75
968	2291	73
969	2293	70
970	2295	68
971	2296	66
972	2298	63
973	2300	61
974	2305	59
975	2307	56
976	2309	54
977	2311	52
978	2313	49
979	2315	47
980	2317	44
981	2322	42
982	2324	40
983	2326	37
984	2328	35
985	2329	33
986	2331	30
987	2333	28
988	2337	25
989	2339	23
990	2341	21
991	2343	18
992	2344	16
993	2346	14
994	2348	11
995	2352	9
996	2354	7
997	2356	4
998	2358	2
999	2359	0
