iter	Logloss
0	0.6880780792
1	0.6840897369
2	0.6800398254
3	0.6761670685
4	0.6730490112
5	0.6682788849
6	0.6640179443
7	0.6602261353
8	0.6562220764
9	0.6520219421
10	0.6485391235
11	0.6449868774
12	0.641370697
13	0.6369909668
14	0.6335519409
15	0.6302607727
16	0.6262395096
17	0.6231352997
18	0.6194166565
19	0.6160872269
20	0.6123669052
21	0.6083355331
22	0.60538414
23	0.6025311279
24	0.59965271
25	0.5970612335
26	0.5941358185
27	0.5914118195
28	0.5883821106
29	0.5848416901
30	0.5822554398
31	0.5790345383
32	0.5763998413
33	0.5733233643
34	0.5705052185
35	0.5676851654
36	0.565279541
37	0.5623243713
38	0.5599822617
39	0.5577686691
40	0.5558243561
41	0.5533491898
42	0.5512639618
43	0.5490060043
44	0.547022171
45	0.5444540405
46	0.5430410004
47	0.541072464
48	0.5390002441
49	0.5369987488
50	0.5349278259
51	0.5326459122
52	0.5302796173
53	0.5283115387
54	0.5260499573
55	0.5238114166
56	0.5217224884
57	0.5194713593
58	0.5173823929
59	0.5158242798
60	0.5138841248
61	0.512277832
62	0.5106270981
63	0.5090440369
64	0.5070977783
65	0.5050997925
66	0.5035585022
67	0.5019603729
68	0.500401001
69	0.4986727142
70	0.4970742798
71	0.4952515411
72	0.4935554123
73	0.4918677521
74	0.4905283356
75	0.4891346359
76	0.4877038574
77	0.4863575745
78	0.4854165649
79	0.4840202332
80	0.4826322937
81	0.4812109756
82	0.4801213837
83	0.4789854431
84	0.4774784088
85	0.476084671
86	0.4745672607
87	0.4730636597
88	0.4716978455
89	0.4702095032
90	0.469111557
91	0.4681513214
92	0.4668835831
93	0.4655216599
94	0.4640682983
95	0.4629172134
96	0.4616874695
97	0.4606451416
98	0.4595097733
99	0.4582459641
100	0.457546463
101	0.4564085388
102	0.4551626205
103	0.454372406
104	0.4529863358
105	0.4516093826
106	0.4503748703
107	0.4492963409
108	0.4483182907
109	0.447415123
110	0.4462525177
111	0.4453607178
112	0.4440717316
113	0.4429966736
114	0.4420568085
115	0.4411684799
116	0.4401609421
117	0.4391347504
118	0.4380669403
119	0.437130928
120	0.4363482666
121	0.4353625488
122	0.4345524979
123	0.4337032318
124	0.4331445313
125	0.4323062134
126	0.4315804672
127	0.4307790375
128	0.430014267
129	0.4294062424
130	0.4287157059
131	0.4278647614
132	0.4271018982
133	0.4261299896
134	0.4252453613
135	0.4246234894
136	0.4237421036
137	0.422730217
138	0.4222042847
139	0.421748848
140	0.4206164551
141	0.4198789978
142	0.4191298676
143	0.418346405
144	0.4178528976
145	0.417254982
146	0.4162948608
147	0.4155617905
148	0.4147953796
149	0.4138448334
150	0.4128922653
151	0.41222229
152	0.4113314056
153	0.4106790161
154	0.4101128387
155	0.4095526123
156	0.4087705231
157	0.4084218597
158	0.407481842
159	0.4067933655
160	0.4058660507
161	0.4053994751
162	0.4045489502
163	0.4037888718
164	0.4032127762
165	0.4026417923
166	0.4022243881
167	0.4013283157
168	0.4007286453
169	0.4001964569
170	0.3997182846
171	0.3988547897
172	0.3981973648
173	0.3976673889
174	0.3971781158
175	0.3966226959
176	0.3960314178
177	0.3956310654
178	0.3948822784
179	0.3943207169
180	0.3938484573
181	0.3931132507
182	0.3923203278
183	0.3915109253
184	0.3906119537
185	0.390083847
186	0.3895112991
187	0.3886610794
188	0.3880904007
189	0.3875946808
190	0.3868880463
191	0.3860248566
192	0.3853574371
193	0.3850213623
194	0.3844470215
195	0.3839001846
196	0.3834510803
197	0.3829805374
198	0.3825918579
199	0.3820130539
200	0.3815522766
201	0.3809489059
202	0.380428009
203	0.3799758148
204	0.3795454407
205	0.3791311264
206	0.3785952759
207	0.3782154465
208	0.3778038025
209	0.3773635101
210	0.3768881607
211	0.3763137817
212	0.3757853699
213	0.375245018
214	0.3747324371
215	0.3741314697
216	0.3734974289
217	0.3727898026
218	0.3724291229
219	0.3722774124
220	0.3718160248
221	0.371162796
222	0.3706364441
223	0.3701195526
224	0.3695687485
225	0.3692541504
226	0.3688324356
227	0.3683906937
228	0.3678834152
229	0.3672885132
230	0.3668848801
231	0.3663591003
232	0.3657655334
233	0.3653297424
234	0.3648202515
235	0.3643733978
236	0.363696785
237	0.3634043503
238	0.3629951096
239	0.3626214218
240	0.3623734283
241	0.3617011261
242	0.3611362457
243	0.3607981491
244	0.3603002167
245	0.359903717
246	0.3596827316
247	0.3592967224
248	0.3586788177
249	0.3582201385
250	0.357484436
251	0.3570386505
252	0.3567733765
253	0.3563404083
254	0.3559366226
255	0.3556067657
256	0.3551579285
257	0.3545327759
258	0.3541437531
259	0.3537816238
260	0.3532162857
261	0.3528361511
262	0.3524871063
263	0.3520925522
264	0.3517163849
265	0.3512457657
266	0.3510407257
267	0.3505402374
268	0.3501025391
269	0.3496023178
270	0.3489998245
271	0.3486100769
272	0.3482006454
273	0.347682457
274	0.3471475983
275	0.3467665863
276	0.3464535522
277	0.3461663055
278	0.3457155991
279	0.3454676437
280	0.3447599411
281	0.3444321442
282	0.3440808868
283	0.3437318802
284	0.3433294296
285	0.3431580353
286	0.3427212906
287	0.3425100327
288	0.3419841766
289	0.3416434097
290	0.3412937927
291	0.3408512497
292	0.3405709457
293	0.3401239395
294	0.3398002625
295	0.3394091034
296	0.3391903305
297	0.338864212
298	0.3383838654
299	0.3381016541
300	0.337772522
301	0.3372150421
302	0.3367328644
303	0.3362722778
304	0.3358211136
305	0.3352819061
306	0.3348292542
307	0.3346839142
308	0.3343562317
309	0.3339388275
310	0.3336257935
311	0.333413353
312	0.3331204605
313	0.3328305054
314	0.3326847458
315	0.3322585297
316	0.3316907883
317	0.3313822556
318	0.3309730911
319	0.3307125092
320	0.3304870224
321	0.3300974274
322	0.3297507477
323	0.3292984772
324	0.3289730072
325	0.3287984467
326	0.3282744598
327	0.3279716492
328	0.3277687836
329	0.3274029922
330	0.3270900726
331	0.326834259
332	0.3267986298
333	0.3261920166
334	0.3258594513
335	0.3254795837
336	0.3251538467
337	0.3248693848
338	0.3245318222
339	0.3241622925
340	0.3238113022
341	0.3233373642
342	0.3228903198
343	0.3225009537
344	0.3220973206
345	0.3215826416
346	0.3212578583
347	0.3211100769
348	0.3208204651
349	0.3206260681
350	0.320340271
351	0.3197039795
352	0.3191394424
